tweet_id,rating_numerator,rating_denominator,name,year,day,month,hour,stages,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
892420643555336193,13,10,Phineas,2017,Tue,Aug,16,None,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Bagel,0.07611,False,38013,8314
892177421306343426,13,10,Tilly,2017,Tue,Aug,0,None,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Pekinese,0.0689569,True,32631,6141
891815181378084864,12,10,Archie,2017,Mon,Jul,0,None,Chihuahua,0.716012,True,Malamute,0.078253,True,Malamute,0.0313789,True,24559,4066
891689557279858688,13,10,Darla,2017,Sun,Jul,15,None,Paper towel,0.17027799999999998,False,Labrador retriever,0.168086,True,Labrador retriever,0.0408359,False,41363,8458
891327558926688256,12,10,Franklin,2017,Sat,Jul,16,None,Basset,0.555712,True,English springer,0.22577,True,English springer,0.175219,True,39542,9158
891087950875897856,13,10,None,2017,Sat,Jul,0,None,Chesapeake bay retriever,0.425595,True,Irish terrier,0.116317,True,Irish terrier,0.07690219999999999,False,19861,3048
890971913173991426,13,10,Jax,2017,Fri,Jul,16,None,Appenzeller,0.34170300000000003,True,Border collie,0.199287,True,Border collie,0.193548,False,11613,2019
890729181411237888,13,10,None,2017,Fri,Jul,0,None,Pomeranian,0.566142,True,Eskimo dog,0.17840599999999998,True,Eskimo dog,0.0765069,True,64142,18440
890609185150312448,13,10,Zoey,2017,Thu,Jul,16,None,Irish terrier,0.487574,True,Irish setter,0.193054,True,Irish setter,0.118184,True,27286,4182
890240255349198849,14,10,Cassie,2017,Wed,Jul,15,doggo,Pembroke,0.511319,True,Cardigan,0.451038,True,Cardigan,0.0292482,True,31304,7213
890006608113172480,13,10,Koda,2017,Wed,Jul,0,None,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Pomeranian,0.00816748,True,30084,7172
889880896479866881,13,10,Bruno,2017,Tue,Jul,16,None,French bulldog,0.377417,True,Labrador retriever,0.151317,True,Labrador retriever,0.0829811,False,27278,4867
889665388333682689,13,10,None,2017,Tue,Jul,1,puppo,Pembroke,0.966327,True,Cardigan,0.0273557,True,Cardigan,0.00463323,True,47203,9824
889638837579907072,12,10,Ted,2017,Tue,Jul,0,None,French bulldog,0.99165,True,Boxer,0.00212864,True,Boxer,0.00149818,True,26637,4435
889531135344209921,13,10,Stuart,2017,Mon,Jul,17,puppo,Golden retriever,0.953442,True,Labrador retriever,0.0138341,True,Labrador retriever,0.00795775,True,14834,2198
889278841981685760,13,10,Oliver,2017,Mon,Jul,0,None,Whippet,0.626152,True,Borzoi,0.194742,True,Borzoi,0.0273507,True,24772,5253
888917238123831296,12,10,Jim,2017,Sun,Jul,0,None,Golden retriever,0.714719,True,Tibetan mastiff,0.120184,True,Tibetan mastiff,0.105506,True,28567,4402
888804989199671297,13,10,Zeke,2017,Sat,Jul,16,None,Golden retriever,0.46976,True,Labrador retriever,0.184172,True,Labrador retriever,0.0734817,True,25084,4193
888554962724278272,13,10,Ralphus,2017,Sat,Jul,0,None,Siberian husky,0.700377,True,Eskimo dog,0.166511,True,Eskimo dog,0.111411,True,19448,3472
888078434458587136,12,10,Gerald,2017,Thu,Jul,16,None,French bulldog,0.995026,True,Pug,0.000931908,True,Pug,0.000903211,True,21340,3414
887705289381826560,13,10,Jeffrey,2017,Wed,Jul,16,None,Basset,0.821664,True,Redbone,0.0875815,True,Redbone,0.026236400000000003,True,29606,5275
887517139158093824,14,10,such,2017,Wed,Jul,3,None,Limousine,0.130432,False,Tow truck,0.0291754,False,Tow truck,0.0263208,False,45403,11423
887473957103951883,13,10,Canela,2017,Wed,Jul,0,None,Pembroke,0.809197,True,Rhodesian ridgeback,0.05495,True,Rhodesian ridgeback,0.0389148,True,67745,17769
887343217045368832,13,10,None,2017,Tue,Jul,16,None,Mexican hairless,0.330741,True,Sea lion,0.275645,False,Sea lion,0.134203,True,33054,10172
887101392804085760,12,10,None,2017,Tue,Jul,0,None,Samoyed,0.733942,True,Eskimo dog,0.0350295,True,Eskimo dog,0.029704700000000007,True,29999,5835
886983233522544640,13,10,Maya,2017,Mon,Jul,16,None,Chihuahua,0.793469,True,Toy terrier,0.143528,True,Toy terrier,0.0322529,False,34480,7604
886736880519319552,13,10,Mingus,2017,Sun,Jul,23,None,Kuvasz,0.309706,True,Great pyrenees,0.186136,True,Great pyrenees,0.08634630000000001,True,11833,3210
886680336477933568,13,10,Derek,2017,Sun,Jul,20,None,Convertible,0.738995,False,Sports car,0.139952,False,Sports car,0.0441727,False,22006,4364
886366144734445568,12,10,Roscoe,2017,Sat,Jul,23,pupper,French bulldog,0.999201,True,Chihuahua,0.000361178,True,Chihuahua,7.55616e-05,True,20788,3131
886258384151887873,13,10,Waffles,2017,Sat,Jul,16,None,Pug,0.943575,True,Shower cap,0.0252856,False,Shower cap,0.00284892,False,27472,6148
885984800019947520,12,10,Jimbo,2017,Fri,Jul,22,None,Blenheim spaniel,0.972494,True,Shih-tzu,0.00663012,True,Shih-tzu,0.00623915,True,32036,6633
885528943205470208,13,10,Maisey,2017,Thu,Jul,15,None,Pug,0.369275,True,Labrador retriever,0.265835,True,Labrador retriever,0.134697,True,35310,6289
885167619883638784,13,10,None,2017,Wed,Jul,16,None,Malamute,0.8124819999999999,True,Siberian husky,0.0717125,True,Siberian husky,0.0557697,True,21519,4293
884925521741709313,12,10,Earl,2017,Wed,Jul,0,None,Italian greyhound,0.259916,True,American staffordshire terrier,0.198451,True,American staffordshire terrier,0.127725,True,75998,17858
884876753390489601,13,10,Lola,2017,Tue,Jul,20,None,Chow,0.822103,True,Norwich terrier,0.106075,True,Norwich terrier,0.0373485,True,27403,5488
884562892145688576,13,10,Kevin,2017,Tue,Jul,0,None,Pug,0.5464060000000001,True,French bulldog,0.404291,True,French bulldog,0.0440019,True,23842,4591
884441805382717440,14,10,None,2017,Mon,Jul,15,None,Pembroke,0.993225,True,Cardigan,0.00321648,True,Cardigan,0.00208089,True,26491,5539
884162670584377345,12,10,Yogi,2017,Sun,Jul,21,doggo,German shepherd,0.707046,True,Malinois,0.199396,True,Malinois,0.0491476,True,19969,2923
883838122936631299,12,10,Noah,2017,Sun,Jul,0,None,Doberman,0.610946,True,Miniature pinscher,0.299603,True,Miniature pinscher,0.0630203,True,21489,3376
883482846933004288,5,10,Bella,2017,Sat,Jul,0,None,Golden retriever,0.943082,True,Labrador retriever,0.032409,True,Labrador retriever,0.00550072,True,45066,9726
883360690899218434,13,10,Grizzwald,2017,Fri,Jul,16,floofer,Chow,0.987997,True,Tibetan mastiff,0.00709872,True,Tibetan mastiff,0.00214033,True,22259,3625
883117836046086144,13,10,None,2017,Fri,Jul,0,None,Golden retriever,0.949562,True,Labrador retriever,0.045947900000000014,True,Labrador retriever,0.00247094,True,36459,6527
882992080364220416,13,10,Rusty,2017,Thu,Jul,15,None,Eskimo dog,0.466778,True,Siberian husky,0.406044,True,Siberian husky,0.07341439999999999,False,23490,3841
882762694511734784,12,10,Gus,2017,Thu,Jul,0,pupper,Labrador retriever,0.85005,True,Chesapeake bay retriever,0.074257,True,Chesapeake bay retriever,0.015579399999999997,True,27766,4813
882627270321602560,13,10,Stanley,2017,Wed,Jul,15,None,Pembroke,0.542982,True,Chihuahua,0.251988,True,Chihuahua,0.107699,True,27411,5956
882268110199369728,13,10,Alfy,2017,Tue,Jul,16,None,Golden retriever,0.762211,True,Labrador retriever,0.0989849,True,Labrador retriever,0.0171995,True,44112,11357
882045870035918850,13,10,Koko,2017,Tue,Jul,1,None,Web site,0.949591,False,Dhole,0.0173258,False,Dhole,0.00694063,True,28817,4862
881906580714921986,12,10,Rey,2017,Mon,Jul,16,None,Weimaraner,0.291539,True,Chesapeake bay retriever,0.278966,True,Chesapeake bay retriever,0.12701700000000002,False,23859,3323
881666595344535552,13,10,Gary,2017,Mon,Jul,0,None,Saluki,0.529012,True,Afghan hound,0.25000300000000003,True,Afghan hound,0.16073900000000002,True,49653,10447
881536004380872706,14,10,a,2017,Sun,Jul,15,pupper,Samoyed,0.281463,True,Angora,0.272066,False,Angora,0.114854,False,48518,15620
881268444196462592,12,10,Elliot,2017,Sat,Jul,21,None,Tusker,0.473303,False,Indian elephant,0.245646,False,Indian elephant,0.0556607,False,22659,5074
880935762899988482,13,10,Louis,2017,Fri,Jun,23,None,Street sign,0.251801,False,Umbrella,0.115123,False,Umbrella,0.0695338,False,16696,2731
880872448815771648,12,10,None,2017,Fri,Jun,19,None,Pembroke,0.791416,True,Norwich terrier,0.0613929,True,Norwich terrier,0.0337257,True,20870,3740
880465832366813184,12,10,Bella,2017,Thu,Jun,16,None,Golden retriever,0.913255,True,Labrador retriever,0.0263286,True,Labrador retriever,0.00937082,True,28009,6147
880221127280381952,12,10,Jesse,2017,Thu,Jun,0,None,Chihuahua,0.238525,True,Meerkat,0.104256,False,Meerkat,0.0525803,True,26556,4129
880095782870896641,11,10,None,2017,Wed,Jun,16,None,Miniature pinscher,0.120298,True,Rhodesian ridgeback,0.106395,True,Rhodesian ridgeback,0.106073,True,27122,4265
879862464715927552,13,10,Romeo,2017,Wed,Jun,0,None,Basset,0.813507,True,Beagle,0.146654,True,Beagle,0.00948502,True,21916,3432
879492040517615616,12,10,Bailey,2017,Tue,Jun,0,None,German short-haired pointer,0.479896,True,Vizsla,0.124353,True,Vizsla,0.0733202,False,22999,3117
879415818425184262,13,10,Duddles,2017,Mon,Jun,19,None,English springer,0.383404,True,Boston bull,0.134967,True,Boston bull,0.110481,True,103966,43410
879376492567855104,12,10,Jack,2017,Mon,Jun,16,None,Tricycle,0.663601,False,Labrador retriever,0.0334961,True,Labrador retriever,0.0188266,True,16474,3057
879050749262655488,11,10,Steven,2017,Sun,Jun,18,None,Tabby,0.311861,False,Window screen,0.169123,False,Window screen,0.132932,False,22144,4629
879008229531029506,13,10,Beau,2017,Sun,Jun,16,None,Vizsla,0.960513,True,Miniature pinscher,0.00943065,True,Miniature pinscher,0.0087113,True,18639,2645
878776093423087618,13,10,Snoopy,2017,Sun,Jun,0,puppo,Italian greyhound,0.734684,True,Whippet,0.15048699999999998,True,Whippet,0.0397246,True,19066,4049
878281511006478336,13,10,Shadow,2017,Fri,Jun,16,None,Basset,0.32042,True,Collie,0.215975,True,Collie,0.12850699999999998,True,7607,1267
878057613040115712,14,10,Emmy,2017,Fri,Jun,1,None,French bulldog,0.839097,True,Boston bull,0.07879939999999999,True,Boston bull,0.0152434,True,41298,6696
877736472329191424,13,10,Aja,2017,Thu,Jun,3,None,Chesapeake bay retriever,0.8379559999999999,True,Labrador retriever,0.0620342,True,Labrador retriever,0.0405991,True,78359,18741
877556246731214848,12,10,Penny,2017,Wed,Jun,15,None,Basset,0.995368,True,Welsh springer spaniel,0.00193621,True,Welsh springer spaniel,0.000467919,False,22330,3741
877316821321428993,13,10,Dante,2017,Wed,Jun,0,None,Saluki,0.5099670000000001,True,Italian greyhound,0.0904973,True,Italian greyhound,0.0794058,True,26916,5090
877201837425926144,12,10,Nelly,2017,Tue,Jun,16,None,Pembroke,0.93112,True,Cardigan,0.0686982,True,Cardigan,8.17379e-05,True,26654,5481
876838120628539392,12,10,Ginger,2017,Mon,Jun,16,pupper,Bloodhound,0.575751,True,Redbone,0.24097,True,Redbone,0.08893480000000001,True,20338,3281
876484053909872640,13,10,Benedict,2017,Sun,Jun,16,None,Golden retriever,0.874566,True,Irish terrier,0.0373542,True,Irish terrier,0.016723599999999998,True,18446,2358
876120275196170240,13,10,Venti,2017,Sat,Jun,16,None,Bernese mountain dog,0.534327,True,Saint bernard,0.346312,True,Saint bernard,0.0949327,True,27457,4610
875747767867523072,13,10,Goose,2017,Fri,Jun,16,None,Labrador retriever,0.799551,True,Chesapeake bay retriever,0.179975,True,Chesapeake bay retriever,0.0046176,True,24775,4221
875144289856114688,13,10,Nugget,2017,Thu,Jun,0,None,Siberian husky,0.245048,True,Pembroke,0.223716,True,Pembroke,0.160753,False,21566,4849
875021211251597312,12,10,None,2017,Wed,Jun,16,None,West highland white terrier,0.7143189999999999,True,Siberian husky,0.0919133,True,Siberian husky,0.0460382,True,25051,4646
874680097055178752,12,10,Cash,2017,Tue,Jun,17,None,Labrador retriever,0.836052,True,Staffordshire bullterrier,0.0470691,True,Staffordshire bullterrier,0.0360071,True,27363,4570
874296783580663808,13,10,Jed,2017,Mon,Jun,16,pupper,Cocker spaniel,0.437216,True,Miniature poodle,0.277191,True,Miniature poodle,0.157402,True,25633,4044
874057562936811520,12,10,None,2017,Mon,Jun,0,None,Flat-coated retriever,0.8321770000000001,True,Black-and-tan coonhound,0.040436900000000005,True,Black-and-tan coonhound,0.0282283,True,22299,3904
874012996292530176,13,10,Sebastian,2017,Sun,Jun,21,puppo,Cardigan,0.806674,True,Pembroke,0.116622,True,Pembroke,0.0491819,True,34025,10258
873580283840344065,13,10,None,2017,Sat,Jun,16,None,Newfoundland,0.678537,True,Tibetan mastiff,0.244022,True,Tibetan mastiff,0.0485295,True,23841,3890
873213775632977920,12,10,Sierra,2017,Fri,Jun,16,pupper,Vizsla,0.6197819999999999,True,Bloodhound,0.338069,True,Bloodhound,0.0126763,True,7132,1564
